Imagename,Depth,lat,lon,alt,num,fn
201503.20150520.050837611.280150.png,65.25,38.977585,-73.190398,1.63,0,0
201503.20150520.051059855.281000.png,66.06,38.97965,-73.195082,1.55,0,0
201503.20150520.051330483.281900.png,68.22,38.981747,-73.19993,1.77,0,0
201503.20150520.051609467.282850.png,73.19,38.983958,-73.205065,2.3,0,0
201503.20150520.052752538.287050.png,75.39,38.99357,-73.227557,1.95,0,0
201503.20150520.052941315.287700.png,75.21,38.995128,-73.23119,1.8,0,0
201503.20150520.053253785.288850.png,72.94,38.99793,-73.237545,1.99,0,0
201503.20150520.053507673.289650.png,71.18,38.999853,-73.241985,1.89,0,0
201503.20150520.053738288.290550.png,69.35,39.002023,-73.246922,2.06,0,0
201503.20150520.054008921.291450.png,68.84,39.004187,-73.25182,2.09,0,0
201503.20150520.054059125.291750.png,68.4,39.004908,-73.253445,1.96,0,0
201503.20150520.054214421.292200.png,68.4,39.006,-73.255838,2.09,0,0
201503.20150520.054707307.293950.png,68.51,39.010263,-73.265245,2.13,0,0
201503.20150520.055208538.295750.png,69.48,39.014507,-73.274915,2.11,0,0
201503.20150520.055422437.296550.png,70,39.016362,-73.279277,1.8,0,0
201503.20150520.055923671.298350.png,68.55,39.020488,-73.289087,1.34,0,0
201503.20150520.060154304.299250.png,68.27,39.022553,-73.293993,2.08,0,0
201503.20150520.060416547.300100.png,68.24,39.024508,-73.29862,2.31,0,0
201503.20150520.060638802.300950.png,67.37,39.02648,-73.303348,2.16,0,0
201503.20150520.061114939.302600.png,66.26,39.030227,-73.31252,1.74,0,0
201503.20150520.061353937.303550.png,66.62,39.032372,-73.317652,1.43,0,0
201503.20150520.061748236.304950.png,65.87,39.035705,-73.324993,1.84,0,0
201503.20150520.062043968.306000.png,62.95,39.03825,-73.330563,1.71,0,0
201503.20150520.062249474.306750.png,62.88,39.040018,-73.334568,2.23,0,0
201503.20150520.063226858.310200.png,60.85,39.048368,-73.353292,2.1,0,0
201503.20150520.063505841.311150.png,60.59,39.050718,-73.358522,2.08,3,0
201503.20150520.064114054.313350.png,59.15,39.056197,-73.370647,2.34,0,0
201503.20150520.064738964.315650.png,57.99,39.06173,-73.382837,2.32,2,0
201503.20150520.070842509.323200.png,56.62,39.080295,-73.423657,2.24,0,0
201503.20150520.071721315.326300.png,54.74,39.087845,-73.441065,2.14,50,1
201503.20150520.073216667.331650.png,54.68,39.100237,-73.471,1.72,0,0
201503.20150520.074210795.335200.png,52.24,39.10889,-73.490132,1.71,0,0
201503.20150520.080536601.343600.png,48.3,39.132722,-73.506752,1.5,0,0
201503.20150520.080733750.344300.png,48.72,39.134757,-73.503273,1.84,2,0
201503.20150520.082524846.350700.png,49.03,39.157458,-73.475715,1.7,0,0
201503.20150520.083437109.354000.png,50.58,39.170123,-73.462653,1.7,12,1
201503.20150520.084800438.358800.png,51.7,39.185515,-73.440752,1.77,1,0
201503.20150520.090624981.365400.png,50.55,39.195578,-73.399388,1.91,0,0
201503.20150520.090838862.366200.png,50.16,39.19683,-73.394408,1.76,0,0
201503.20150520.091520531.368600.png,49.35,39.20064,-73.379723,2.03,33,0
201503.20150520.092244023.371250.png,51.6,39.20484,-73.363408,1.84,0,0
201503.20150520.093624080.376150.png,53.46,39.213008,-73.334767,2.06,0,0
201503.20150520.095054345.381350.png,55.63,39.21338,-73.305468,2.32,44,0
201503.20150520.095547214.383100.png,57.42,39.20833,-73.297007,2.26,0,0
201503.20150520.095817834.384000.png,57.98,39.205717,-73.292648,2.1,33,0
201503.20150520.100952369.388150.png,60.53,39.19378,-73.271267,2.11,0,0
201503.20150520.101042565.388450.png,61.29,39.192967,-73.269702,1.91,0,0
201503.20150520.102036685.392000.png,61.42,39.183307,-73.251257,1.78,0,0
